gene,avg_logFC,p_val_adj,gene_set,scores,p_val
REPS2,0.80696666,4.5794656695827446e-05,Other,4.2624497,2.0219818178198004e-05
ARRDC3,-0.80495244,2.506125472768894e-10,Other,-6.549182,5.785309811129805e-11
DLX6,0.8048516,1.0659309366030082e-05,Other,4.594346,4.3410897014880575e-06
TSN,0.8037977,2.1178321660426382e-06,Other,4.93943,7.835125049774679e-07
BTG2,0.79757833,8.731057362700034e-08,Other,5.5625596,2.6584585813792876e-08
GALNT14,-0.79678357,0.0016236692248045,Other,-3.3225346,0.0008920360156436
TEDC1,0.7962768,0.0002382967322572,Other,3.8569207,0.0001148244334868
BMP7,0.7925672,3.914130631174192e-06,Other,4.8097486,1.5112016448989066e-06
CMTM7,0.78816044,9.664073963230896e-06,Other,4.615776,3.916288037518972e-06
C19orf48,0.78784764,3.5086687770384567e-06,Other,4.833652,1.3405095428402976e-06
CBX3,0.78727967,2.85949610551359e-09,Other,6.157116,7.408170354001944e-10
AXIN2,-0.77849346,1.5925148285963218e-12,Other,-7.298696,2.9056974191122404e-13
TM2D1,0.7747415,5.237468625804077e-07,Other,5.223245,1.7581421899120546e-07
HDDC2,0.77138144,1.5718572695290087e-05,Other,4.5069757,6.575814182001397e-06
DYNLL2,0.77113116,1.935465219971683e-07,Other,5.4133716,6.184903979143382e-08
